route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9554,c_5988_b_6309_d_31,t_539697_b_6309_tn_0,,Praça,1,12532,p_176837,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_203332_b_6309_tn_0,,,1,12518,p_176830,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_202014_b_6309_tn_0,,,1,12518,p_176831,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_202009_b_6309_tn_0,,Praça,1,12527,p_176832,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_537832_b_6309_tn_0,,Praça,1,12528,p_176833,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_201985_b_6309_tn_0,,,1,12517,p_176846,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_208641_b_6309_tn_0,,,1,12527,p_176851,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_208716_b_6309_tn_0,,,1,12527,p_176852,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_208846_b_6309_tn_0,,,1,12527,p_176853,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_208890_b_6309_tn_0,,,1,12531,p_176844,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_209049_b_6309_tn_0,,,1,12513,p_176841,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_209062_b_6309_tn_0,,,1,12513,p_176842,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_209065_b_6309_tn_0,,,1,12519,p_176847,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_209067_b_6309_tn_0,,,1,12520,p_176849,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_211486_b_6309_tn_0,,,1,12526,p_176850,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_211488_b_6309_tn_0,,,1,12529,p_176855,,,,,,,,,,
