stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2429655,,,Rua Colorado com Rua São João Calábria,,-29.202228,-51.359922,,,0,,America/Sao_Paulo,,,0
2429656,,,Rua Cristiano Antônio Frederico Fetter entre Rua Amadeu Cotta e Rua Amália Bampi,,-29.20826171,-51.36085868,,,0,,America/Sao_Paulo,,,0
2429657,,,Rua Eugênio Valentini com Rua Henrique Venzon,,-29.207081613111,-51.345388731408,,,0,,America/Sao_Paulo,,,0
2429658,,,Rua Eugênio Valentini com Rua Henrique Venzon,,-29.207147396546,-51.34540471923,,,0,,America/Sao_Paulo,,,0
2429659,,,Rua Eugênio Valentini entre Rua Brietembach e Rua Alecrim,,-29.20711921,-51.34684682,,,0,,America/Sao_Paulo,,,0
2429660,,,Rua Eugênio Valentini entre Rua Brietembach e Rua Alecrim,,-29.207154,-51.346979,,,0,,America/Sao_Paulo,,,0
2429661,,,Rua Firmino Dalzochio com Rua Pedro Roberto Perger,,-29.20151423,-51.35451257,,,0,,America/Sao_Paulo,,,0
2429662,,,Rua São Vicente entre Avenida Prefeito Arno Domingos Busetti e Rua Giácomo Mandelli (Padaria Panini D Itália,,-29.208613,-51.348012,,,0,,America/Sao_Paulo,,,0
2429663,,,Rua São Vicente entre Avenida Prefeito Arno Domingos Busetti e Rua Giácomo Mandelli (Unidade Básica de Saúde Cinquentenário),,-29.20855436,-51.34820133,,,0,,America/Sao_Paulo,,,0
2429664,,,Rua Stefano Crippa com Rodovia dos Romeiros,,-29.20914969964,-51.353242337721,,,0,,America/Sao_Paulo,,,0
2429665,,,Rua Ubaldo Zanelatto com Rua Brietembach,,-29.205993548018,-51.3474796601,,,0,,America/Sao_Paulo,,,0
2429666,,,Rua Ubaldo Zanelatto com Rua Brietembach,,-29.206056082187,-51.34748042755,,,0,,America/Sao_Paulo,,,0
2429667,,,Rua Ubaldo Zanelatto entre Rua Henrique Venzon e Rua Alecrim,,-29.205876,-51.345822,,,0,,America/Sao_Paulo,,,0
2429668,,,Rua Ubaldo Zanelatto entre Rua Henrique Venzon e Rua Alecrim,,-29.205815,-51.345851,,,0,,America/Sao_Paulo,,,0
2429669,,,Rua Ábramo Dalmolin com Rota do sul,,-29.21513048,-51.31326824,,,0,,America/Sao_Paulo,,,0
2429670,,,Acesso ao Monte Pasqual,,-29.21738251,-51.32190093,,,0,,America/Sao_Paulo,,,0
2429671,,,Acesso ao Monte Pasqual - Rota do sol,,-29.21594866,-51.31961569,,,0,,America/Sao_Paulo,,,0
2429672,,,Carlos Buscaino,,-29.214723,-51.323589,,,0,,America/Sao_Paulo,,,0
2429673,,,CEEE Subestação,,-29.21846051,-51.32423043,,,0,,America/Sao_Paulo,,,0
2429674,,,CEEE Subestação,,-29.21833761,-51.32430688,,,0,,America/Sao_Paulo,,,0
2429675,,,Escola Zelinda Rodolfo Pessin,,-29.21591588,-51.32357866,,,0,,America/Sao_Paulo,,,0
2429676,,,Guerino Tartarotti - Rota do sol,,-29.21727365,-51.32199615,,,0,,America/Sao_Paulo,,,0
